Axial Compression Test-Jun-21-2024-09-38-58-AM.log,,,,,
,,,,,
System Information:,,,,,
IntelliMESUR Version: 2.2.1,,,,,
Test Frame Model: F505,,,,,
Test Frame Serial Number: 4418651,,,,,
Test Frame Capacity: 500 lbF / 2.2 kN,,,,,
Test Frame Firmware Version: 1.00.14,,,,,
Force Sensor Model: FS05-100,,,,,
Force Sensor Capacity: 500 N,,,,,
Force Sensor Resolution: 0.2 N,,,,,
Force Sensor Serial Number: 4425350,,,,,
"Calibration Date: Apr 29, 2024",,,,,
"Calibration Due Date: Apr 29, 2025",,,,,
,,,,,
Reading,Load [N],Distance [mm],Time [s],Stress [MPa],Strain [%]
331,-0.2,-1.99,1.32,-0.1,126
332,0,-2,1.324,0,126.5
333,0,-2,1.328,0,126.5
334,0,-2.01,1.332,0,127
335,0,-2.02,1.336,0,128
336,0,-2.03,1.34,0,128.5
337,0,-2.03,1.344,0,128.5
338,0.2,-2.04,1.348,0.1,129
339,0,-2.05,1.352,0,129.5
340,-0.4,-2.05,1.356,-0.2,129.5
341,0,-2.06,1.36,0,130.5
342,0,-2.07,1.364,0,131
343,0,-2.07,1.368,0,131
344,0,-2.08,1.372,0,131.5
345,0,-2.09,1.376,0,132.5
346,-0.2,-2.1,1.38,-0.1,133
347,-0.2,-2.1,1.384,-0.1,133
348,0,-2.11,1.388,0,133.5
349,0,-2.12,1.392,0,134
350,0,-2.12,1.396,0,134
351,0.2,-2.13,1.4,0.1,135
352,0,-2.14,1.404,0,135.5
353,0,-2.14,1.408,0,135.5
354,-0.2,-2.15,1.412,-0.1,136
355,0,-2.16,1.416,0,136.5
356,-0.2,-2.17,1.42,-0.1,137.5
357,0,-2.17,1.424,0,137.5
358,-0.2,-2.18,1.428,-0.1,138
359,0,-2.19,1.432,0,138.5
360,0,-2.19,1.436,0,138.5
361,-0.2,-2.2,1.44,-0.1,139
362,-0.2,-2.21,1.444,-0.1,140
363,0,-2.21,1.448,0,140
364,0,-2.22,1.452,0,140.5
365,0,-2.23,1.456,0,141
366,0,-2.23,1.46,0,141
367,0,-2.24,1.464,0,142
368,-0.2,-2.25,1.468,-0.1,142.5
369,0.2,-2.26,1.472,0.1,143
370,0.2,-2.26,1.476,0.1,143
371,0,-2.27,1.48,0,143.5
372,0,-2.28,1.484,0,144.5
373,0,-2.28,1.488,0,144.5
374,0,-2.29,1.492,0,145
375,0,-2.3,1.496,0,145.5
376,0,-2.3,1.5,0,145.5
377,0,-2.31,1.504,0,146
378,0,-2.32,1.508,0,147
379,-0.4,-2.33,1.512,-0.2,147.5
380,-0.2,-2.33,1.516,-0.1,147.5
381,0,-2.34,1.52,0,148
382,0,-2.35,1.524,0,148.5
383,0,-2.35,1.528,0,148.5
384,0,-2.36,1.532,0,149.5
385,0.2,-2.37,1.536,0.1,150
386,0.2,-2.37,1.54,0.1,150
387,0.2,-2.38,1.544,0.1,150.5
388,-0.2,-2.39,1.548,-0.1,151.5
389,-0.2,-2.4,1.552,-0.1,152
390,0.4,-2.39,1.556,0.2,151.5
391,0,-2.4,1.56,0,152
392,0.2,-2.4,1.564,0.1,152
393,0,-2.41,1.568,0,152.5
394,0,-2.42,1.572,0,153
395,0,-2.43,1.576,0,154
396,0.2,-2.43,1.58,0.1,154
397,0.2,-2.44,1.584,0.1,154.5
398,0.2,-2.45,1.588,0.1,155
399,-0.2,-2.45,1.592,-0.1,155
400,0,-2.46,1.596,0,155.5
401,0,-2.47,1.6,0,156.5
402,0.4,-2.48,1.604,0.2,157
403,0,-2.48,1.608,0,157
404,0,-2.49,1.612,0,157.5
405,0,-2.5,1.616,0,158
406,0,-2.5,1.62,0,158
407,0,-2.51,1.624,0,159
408,0.2,-2.52,1.628,0.1,159.5
409,0,-2.52,1.632,0,159.5
410,0.2,-2.53,1.636,0.1,160
411,0.2,-2.54,1.64,0.1,161
412,0,-2.55,1.644,0,161.5
413,0,-2.55,1.648,0,161.5
414,-0.2,-2.56,1.652,-0.1,162
415,-0.2,-2.57,1.656,-0.1,162.5
416,0,-2.57,1.66,0,162.5
417,0,-2.58,1.664,0,163.5
418,0.2,-2.59,1.668,0.1,164
419,0.2,-2.59,1.672,0.1,164
420,0,-2.6,1.676,0,164.5
421,-0.2,-2.61,1.68,-0.1,165
422,0.4,-2.62,1.684,0.2,166
423,0.2,-2.62,1.688,0.1,166
424,0,-2.63,1.692,0,166.5
425,0,-2.63,1.696,0,166.5
426,0,-2.64,1.7,0,167
427,-0.2,-2.65,1.704,-0.1,167.5
428,0,-2.66,1.708,0,168.5
429,0,-2.66,1.712,0,168.5
430,-0.2,-2.67,1.716,-0.1,169
431,-0.2,-2.68,1.72,-0.1,169.5
432,0,-2.68,1.724,0,169.5
433,-0.2,-2.69,1.728,-0.1,170.5
434,0,-2.7,1.732,0,171
435,0,-2.7,1.736,0,171
436,0,-2.71,1.74,0,171.5
437,0,-2.72,1.744,0,172
438,0,-2.73,1.748,0,173
439,0.2,-2.73,1.752,0.1,173
440,0,-2.74,1.756,0,173.5
441,-0.2,-2.75,1.76,-0.1,174
442,0,-2.75,1.764,0,174
443,0,-2.76,1.768,0,174.5
444,0,-2.77,1.772,0,175.5
445,0.2,-2.77,1.776,0.1,175.5
446,-0.2,-2.78,1.78,-0.1,176
447,0,-2.79,1.784,0,176.5
448,0,-2.8,1.788,0,177
449,0,-2.8,1.792,0,177
450,0,-2.81,1.796,0,178
451,-0.2,-2.82,1.8,-0.1,178.5
452,0.2,-2.82,1.804,0.1,178.5
453,0,-2.83,1.808,0,179
454,0,-2.84,1.812,0,179.5
455,0.2,-2.84,1.816,0.1,179.5
456,0.2,-2.85,1.82,0.1,180.5
457,0,-2.86,1.824,0,181
458,0,-2.86,1.828,0,181
459,0.2,-2.87,1.832,0.1,181.5
460,0,-2.88,1.836,0,182.5
461,0,-2.89,1.84,0,183
462,-0.2,-2.89,1.844,-0.1,183
463,0.2,-2.9,1.848,0.1,183.5
464,0,-2.91,1.852,0,184
465,0,-2.91,1.856,0,184
466,0.2,-2.92,1.86,0.1,185
467,0,-2.93,1.864,0,185.5
468,-0.2,-2.93,1.868,-0.1,185.5
469,0,-2.94,1.872,0,186
470,0,-2.95,1.876,0,186.5
471,0,-2.96,1.88,0,187.5
472,0,-2.96,1.884,0,187.5
473,0,-2.97,1.888,0,188
474,0,-2.98,1.892,0,188.5
475,-0.2,-2.98,1.896,-0.1,188.5
476,-0.2,-2.99,1.9,-0.1,189
477,0.2,-3,1.904,0.1,190
478,-0.4,-3,1.908,-0.2,190
479,0.2,-3.01,1.912,0.1,190.5
480,0.2,-3.02,1.916,0.1,191
481,0,-3.03,1.92,0,192
482,0,-3.03,1.924,0,192
483,0.2,-3.04,1.928,0.1,192.5
484,0.2,-3.05,1.932,0.1,193
485,0,-3.05,1.936,0,193
486,0.2,-3.06,1.94,0.1,193.5
487,0,-3.07,1.944,0,194.5
488,0.2,-3.07,1.948,0.1,194.5
489,0.2,-3.08,1.952,0.1,195
490,0,-3.09,1.956,0,195.5
491,0,-3.1,1.96,0,196
492,0,-3.1,1.964,0,196
493,0.2,-3.11,1.968,0.1,197
494,0.2,-3.12,1.972,0.1,197.5
495,0,-3.12,1.976,0,197.5
496,0,-3.13,1.98,0,198
497,-0.2,-3.14,1.984,-0.1,198.5
498,0,-3.15,1.988,0,199.5
499,0,-3.15,1.992,0,199.5
500,0,-3.16,1.996,0,200
501,-0.2,-3.17,2,-0.1,200.5
502,-0.2,-3.17,2.004,-0.1,200.5
503,0,-3.18,2.008,0,201.5
504,0,-3.19,2.012,0,202
505,0,-3.19,2.016,0,202
506,0,-3.2,2.02,0,202.5
507,0,-3.21,2.024,0,203
508,-0.2,-3.22,2.028,-0.1,204
509,0.2,-3.22,2.032,0.1,204
510,0,-3.23,2.036,0,204.5
511,0.2,-3.23,2.04,0.1,204.5
512,-0.2,-3.24,2.044,-0.1,205
513,0,-3.25,2.048,0,205.5
514,0,-3.26,2.052,0,206.5
515,0,-3.26,2.056,0,206.5
516,-0.2,-3.27,2.06,-0.1,207
517,0,-3.28,2.064,0,207.5
518,-0.2,-3.28,2.068,-0.1,207.5
519,0,-3.29,2.072,0,208
520,0,-3.3,2.076,0,209
521,0,-3.3,2.08,0,209
522,0,-3.31,2.084,0,209.5
523,0,-3.32,2.088,0,210
524,0,-3.33,2.092,0,211
525,0.2,-3.33,2.096,0.1,211
526,0,-3.34,2.1,0,211.5
527,0,-3.35,2.104,0,212
528,-0.2,-3.35,2.108,-0.1,212
529,0,-3.36,2.112,0,212.5
530,0,-3.37,2.116,0,213.5
531,0,-3.38,2.12,0,214
532,0,-3.38,2.124,0,214
533,0.4,-3.39,2.128,0.2,214.5
534,0,-3.41,2.132,0,216
535,0,-3.41,2.136,0,216
536,-0.2,-3.42,2.14,-0.1,216.5
537,0,-3.43,2.144,0,217
538,0,-3.43,2.148,0,217
539,-0.2,-3.44,2.152,-0.1,217.5
540,-0.2,-3.45,2.156,-0.1,218.5
541,0,-3.46,2.16,0,219
542,0,-3.46,2.164,0,219
543,0,-3.47,2.168,0,219.5
544,0,-3.48,2.172,0,220.5
545,-0.2,-3.48,2.176,-0.1,220.5
546,0.2,-3.49,2.18,0.1,221
547,0,-3.5,2.184,0,221.5
548,-0.2,-3.5,2.188,-0.1,221.5
549,0,-3.51,2.192,0,222
550,0,-3.52,2.196,0,223
551,-0.2,-3.53,2.2,-0.1,223.5
552,-0.2,-3.53,2.204,-0.1,223.5
553,0,-3.54,2.208,0,224
554,0.4,-3.55,2.212,0.2,224.5
555,0,-3.55,2.216,0,224.5
556,0,-3.56,2.22,0,225.5
557,0.2,-3.57,2.224,0.1,226
558,0.2,-3.57,2.228,0.1,226
559,0.2,-3.58,2.232,0.1,226.5
560,0,-3.59,2.236,0,227
561,0,-3.6,2.24,0,228
562,0,-3.6,2.244,0,228
563,0.2,-3.61,2.248,0.1,228.5
564,0.4,-3.62,2.252,0.2,229
565,0,-3.62,2.256,0,229
566,-0.2,-3.63,2.26,-0.1,229.5
567,-0.2,-3.64,2.264,-0.1,230.5
568,0,-3.65,2.268,0,231
569,0,-3.65,2.272,0,231
570,-0.2,-3.66,2.276,-0.1,231.5
571,0,-3.66,2.28,0,231.5
572,-0.2,-3.67,2.284,-0.1,232.5
573,0,-3.68,2.288,0,233
574,0,-3.69,2.292,0,233.5
575,0,-3.69,2.296,0,233.5
576,0,-3.7,2.3,0,234
577,0,-3.71,2.304,0,235
578,0.2,-3.72,2.308,0.1,235.5
579,0,-3.72,2.312,0,235.5
580,0.2,-3.73,2.316,0.1,236
581,0.2,-3.73,2.32,0.1,236
582,0,-3.74,2.324,0,236.5
583,0.4,-3.75,2.328,0.2,237.5
584,0,-3.76,2.332,0,238
585,0.2,-3.76,2.336,0.1,238
586,0,-3.77,2.34,0,238.5
587,0,-3.78,2.344,0,239
588,0,-3.79,2.348,0,240
589,0,-3.79,2.352,0,240
590,0,-3.8,2.356,0,240.5
591,-0.2,-3.81,2.36,-0.1,241
592,-0.2,-3.81,2.364,-0.1,241
593,0,-3.82,2.368,0,242
594,0,-3.83,2.372,0,242.5
595,0,-3.83,2.376,0,242.5
596,0,-3.84,2.38,0,243
597,-0.2,-3.85,2.384,-0.1,243.5
598,-0.2,-3.85,2.388,-0.1,243.5
599,-0.2,-3.86,2.392,-0.1,244.5
600,0,-3.87,2.396,0,245
601,0,-3.88,2.4,0,245.5
602,0,-3.88,2.404,0,245.5
603,0,-3.89,2.408,0,246
604,-0.2,-3.9,2.412,-0.1,247
605,0.2,-3.91,2.416,0.1,247.5
606,0,-3.91,2.42,0,247.5
607,0,-3.92,2.424,0,248
608,0.2,-3.92,2.428,0.1,248
609,-0.2,-3.93,2.432,-0.1,248.5
610,0,-3.94,2.436,0,249.5
611,0,-3.95,2.44,0,250
612,0,-3.95,2.444,0,250
613,0.2,-3.96,2.448,0.1,250.5
