names,max.slope,inflection.slope,fds.slope,max.strain,inflection.strain,fds.strain,max.score,inflection.score,fds.score,rsquared
pf10MT2,47.59387185568427,47.59377235801869,37.282428070457854,0.035300000000000005,0.0352,0.0477,0.3808292085792164,0.38055209971101095,0.297745318349153,0.16033316329876782
pf10MT3,78.88988891158813,78.8898629807084,51.682696020920815,0.0424,0.042300000000000004,0.057300000000000004,0.5047127257053456,0.5041251104499569,0.5424824794768017,0.8178216162800265
pf10UT1,105.02162498940947,105.02102935223581,17.713720697545433,0.17250000000000001,0.1724,0.0614,0.21631680709082682,0.21668062526116982,1.0529328422594886,0.7580959259007374
pf10UT2,138.49674049046743,138.49568223729244,140.6272603614787,0.0601,0.060000000000000005,0.058,0.4884758207832489,0.48882151328826406,0.49227673337999217,0.8126690665035785
pf10UT3,118.02155289492404,30.816878051921698,97.1131162949277,0.0693,0.019700000000000002,0.08710000000000001,0.4696230080813776,1.3530059973433872,0.5348714938118542,0.5050337058585003
pf11CP1,93.94477391064646,93.9446885528057,66.61847341742467,0.0454,0.0453,0.0205,0.29548585329621524,0.295091412764216,0.2286843606887028,0.6988056690944218
pf11CP2,150.73954845021797,106.70817757422365,103.61896928824468,0.11620000000000001,0.039,0.040100000000000004,1.1905587389968864,0.3523728157955482,0.3101162197036834,0.6915968287930531
pf11CP3,167.9144821312305,69.741204503843,66.61623363727297,0.1595,0.0528,0.054,0.833267887108939,0.28841786704455913,0.24606289625508584,0.5775443152261539
pf11CP4,296.45055398724196,127.49773893750302,67.04579817829021,0.0753,0.0181,0.032100000000000004,0.6463192086318096,0.5912665278460494,2.149476707644434,0.8508812788755162
pf11LT1,185.3647617803344,185.3638627553809,176.9118847329661,0.0523,0.0522,0.0441,0.6273255799402145,0.6269537302425157,0.5681535610593771,0.9502521028896718
pf11LT2,347.80153596998014,46.96701992440404,35.23770248109968,0.06620000000000001,0.0189,0.0142,0.7360121919113326,3.108108097366668,4.245320859509307,0.7882656437279034
pf11LT3,242.62302553498736,174.58743208705766,139.33054363995856,0.11180000000000001,0.0224,0.0333,0.7982783792007048,0.41725331806520016,0.4894253581233808,0.588512102106077
pf11MT1,111.4075615930929,111.40707325736682,104.13814583268045,0.031200000000000002,0.031100000000000003,0.030100000000000002,0.46894689709862736,0.4683158547551161,0.4332509750179802,0.8728521951807323
pf11MT2,238.85038073208818,86.5342689334163,245.33758104450771,0.06670000000000001,0.0172,0.0698,0.674634019519769,0.9642079730094845,0.71765294585805,0.8557760180312138
pf11MT3,178.73020761348278,99.12718291715002,91.30545021912131,0.1087,0.0434,0.048600000000000004,0.8759948792088407,0.38219005589271116,0.30928812808401035,0.6156247734132727
pf11UT1,135.22974952153334,120.5802974196664,6.8151447745487985,0.184,0.1188,0.0125,0.3585870088304481,0.3824159594480087,2.4314634406829834,0.8980713882327187
pf11UT2,133.15077994392232,33.8942145202718,76.84007166421512,0.1718,0.0206,0.1275,0.28248079704903206,0.2969085519548347,0.38036443466059777,0.4178581303023458
pf11UT3,225.37993595714656,94.31290208028264,98.93278891213477,0.1638,0.0671,0.1114,0.6364504856606085,0.24674431908732103,0.39445526267793746,0.8034094660022306
pf11UT4,345.77736034656726,40.81712428907725,34.759850903466905,0.1777,0.014400000000000001,0.0148,0.6016171744708134,0.5976081466762132,0.551418814207747,0.9173437146815273
pf11UT5,246.7988236506241,102.26048897350626,95.65546261475777,0.1925,0.0897,0.10200000000000001,0.6508637754982196,0.22511060740941974,0.28898364368006724,0.891353563558602
pf12CP1,206.30779268504193,34.422683294830456,23.361460130386412,0.1558,0.0458,0.031,0.404256146626066,1.0389643933856583,1.0144027636894306,0.5593677444101919
